f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,fault,hotel
19.4,18.2,30.4,31.8,127.0,16.3,37.3,403.9,705.5,3.3,59.0,20.0,24.4,35.0,16611.0,383.0,20.1,0.0,1
11.3,8.2,28.6,31.5,392.98,12.0,42.3,270.5,720.7,0.0,53.0,45.8,50.9,96.0,21138.0,386.0,57.1,0.0,2
11.1,9.9,29.6,29.0,0.0,27.6,28.4,321.1,611.1,0.0,45.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0,2
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,3
10.6,8.0,29.1,32.5,329.59,11.3,43.3,260.3,734.8,0.0,50.0,34.9,54.2,103.0,21799.0,391.0,62.3,0.0,2
15.0,10.9,33.2,37.9,720.01,12.4,48.6,304.6,949.2,6.1,55.0,29.2,71.3,114.0,24556.0,388.0,69.2,0.0,0
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,3
11.6,8.2,31.0,34.2,431.01,11.1,49.6,259.5,837.9,0.0,52.0,37.5,100.0,161.0,24518.0,388.0,98.6,0.0,2
14.8,11.3,33.2,37.4,614.65,12.3,47.0,300.8,908.2,5.8,57.0,28.6,65.4,99.0,23796.0,401.0,61.5,0.0,0
11.6,8.0,26.0,29.0,456.36,11.1,38.4,263.6,646.5,0.0,50.0,46.0,52.9,85.0,20424.0,399.0,51.0,0.0,2
14.0,11.1,32.9,35.8,509.28,28.9,30.3,352.0,748.5,16.5,59.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0
19.7,18.2,30.2,32.1,348.9,15.4,38.6,394.0,751.2,2.7,58.0,20.6,28.3,45.0,17699.0,382.0,26.1,0.0,1
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,0
12.9,11.1,28.7,30.5,316.1,12.8,40.3,312.7,766.0,4.5,61.0,20.0,42.7,57.0,21004.0,407.0,33.6,0.0,3
18.9,17.4,27.2,29.5,183.17,15.1,40.8,391.0,793.7,3.2,55.0,22.2,29.4,51.0,18646.0,384.0,30.0,0.0,1
11.0,8.1,32.5,34.9,367.62,12.0,45.4,266.6,774.6,0.0,45.0,38.5,52.6,106.0,22051.0,393.0,65.8,0.0,2
12.0,9.1,32.4,35.7,367.62,11.6,51.1,264.6,886.2,0.0,50.0,37.2,100.0,159.0,24397.0,384.0,97.1,0.0,2
12.9,11.0,28.4,30.5,333.66,13.6,40.1,311.8,723.4,273.1,51.0,33.9,39.5,45.0,25879.0,372.0,25.2,0.0,3
11.4,7.9,26.7,29.6,443.68,11.0,38.8,262.9,657.1,0.0,55.0,47.7,50.5,83.0,20526.0,400.0,49.9,0.0,2
18.7,17.1,31.7,34.4,372.16,14.5,43.8,378.7,861.1,3.4,55.0,22.1,32.1,65.0,19878.0,375.0,37.7,0.0,1
14.0,11.4,32.4,35.0,456.59,28.6,36.3,358.0,745.1,22.1,55.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0
19.1,17.9,23.9,25.4,279.12,16.5,31.9,411.2,595.1,2.8,70.0,40.0,17.0,17.0,14139.0,389.0,10.5,0.0,1
11.4,7.9,20.0,22.4,443.68,10.6,30.0,264.2,506.9,0.0,53.0,35.2,41.4,51.0,17483.0,405.0,27.9,0.0,2
18.8,17.4,26.5,28.2,325.64,15.5,33.6,395.1,616.6,3.7,70.0,20.0,20.7,25.0,15251.0,370.0,13.9,0.0,1
20.4,19.0,25.2,26.1,245.86,19.6,30.3,445.1,583.8,0.0,70.0,20.0,9.9,11.0,12729.0,384.0,5.3,0.0,3
13.4,11.1,30.5,33.0,403.91,27.6,28.6,345.7,694.0,15.6,50.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0
21.8,20.0,27.6,28.2,0.0,21.6,32.9,470.4,620.1,0.0,71.0,20.0,1.0,10.0,13418.0,392.0,4.9,0.0,3
11.6,8.0,28.5,31.8,456.36,11.4,40.6,261.8,690.2,0.0,52.0,41.1,50.6,88.0,20911.0,402.0,53.6,0.0,2
19.8,18.1,30.5,32.3,179.92,14.8,36.8,384.6,720.9,2.2,54.0,30.6,34.7,53.0,16888.0,376.0,30.5,0.0,1
11.3,7.9,31.7,33.2,0.0,8.1,40.6,287.0,646.9,0.0,49.0,38.2,50.9,93.0,21240.0,397.0,58.2,0.0,3
13.0,10.8,30.1,32.4,386.35,32.9,33.4,342.9,676.8,20.4,52.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0
11.8,8.4,30.5,33.8,431.01,12.3,55.3,265.2,992.1,0.0,53.0,35.2,100.0,159.0,24456.0,382.0,98.2,0.0,2
11.7,7.9,27.0,30.4,481.71,10.9,39.6,261.6,665.2,0.0,52.0,42.1,52.5,90.0,20808.0,390.0,52.8,0.0,2
20.0,18.1,25.1,27.4,441.94,15.1,31.8,389.8,615.7,1.8,56.0,29.8,27.9,32.0,14712.0,393.0,19.2,0.0,3
14.1,11.3,28.5,30.9,491.72,28.5,31.9,348.8,656.5,18.5,57.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0
18.2,18.2,28.1,28.3,0.0,33.4,34.4,449.4,617.9,14.1,69.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,1
11.7,9.0,30.1,33.2,342.27,11.6,51.8,262.2,908.9,0.0,50.0,38.0,65.1,159.0,24578.0,391.0,99.3,0.0,2
12.4,10.1,33.8,36.1,403.91,12.5,43.6,295.8,790.6,273.1,55.0,36.5,48.5,64.0,28475.0,371.0,36.0,0.0,3
19.3,17.9,28.0,30.4,0.0,15.6,40.6,397.0,789.7,3.1,57.0,20.0,26.7,45.0,18171.0,391.0,27.2,0.0,1
10.0,7.6,25.7,26.8,304.24,12.4,36.1,274.2,575.3,0.0,61.0,30.0,25.3,39.0,18618.0,404.0,20.3,0.0,2
20.0,17.8,26.5,28.3,511.72,15.6,35.3,398.1,665.8,3.1,56.0,27.3,25.3,33.0,16360.0,379.0,18.8,0.0,1
13.3,10.6,23.7,26.4,474.16,12.6,40.0,310.5,668.0,8.2,66.0,20.0,38.6,47.0,22218.0,396.0,26.3,0.0,0
12.4,12.4,13.9,13.4,0.0,17.6,17.8,352.1,354.5,0.0,48.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,2
11.0,8.1,32.0,34.2,367.62,12.4,44.1,273.6,753.2,0.0,53.0,39.8,50.3,98.0,21449.0,395.0,59.4,0.0,2
10.4,8.4,27.0,28.8,253.53,12.8,37.4,278.2,619.7,0.0,53.0,35.2,32.3,54.0,18420.0,394.0,29.0,0.0,2
11.6,8.2,31.0,34.1,431.01,11.1,50.1,259.6,844.8,0.0,50.0,38.9,100.0,160.0,24613.0,391.0,99.2,0.0,2
11.1,8.0,32.0,34.5,392.98,12.1,45.4,270.1,777.0,0.0,50.0,35.2,53.6,108.0,22081.0,393.0,66.9,0.0,2
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,3
12.7,11.2,19.5,20.8,263.42,12.3,26.5,317.8,504.2,3.0,57.0,21.9,28.4,25.0,15666.0,414.0,14.1,0.0,0
12.6,12.2,7.2,7.5,70.25,13.4,14.9,344.8,279.9,5.3,29.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,0
11.9,10.9,14.1,14.8,175.61,25.1,25.4,335.8,371.2,12.9,61.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,3
19.6,18.2,26.1,28.8,170.96,15.1,33.8,391.2,663.5,2.5,56.0,33.1,37.0,47.0,15939.0,371.0,27.1,0.0,1
10.0,8.1,26.4,28.7,240.86,11.6,37.1,267.0,631.0,0.0,53.0,35.2,38.9,64.0,19215.0,404.0,36.5,0.0,2
12.7,11.2,19.2,20.7,263.42,12.1,26.6,315.7,506.5,3.0,55.0,22.8,32.3,28.0,16033.0,412.0,16.1,0.0,0
22.4,22.5,28.9,29.2,0.0,35.0,35.6,520.6,634.1,11.2,57.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,1
12.5,9.9,27.8,31.8,456.59,23.1,40.1,340.0,681.2,26.2,58.0,71.0,0.0,0.0,0.0,412.0,0.0,0.0,0
13.8,10.9,25.5,28.2,509.28,12.6,37.6,313.1,672.5,5.5,66.0,20.0,40.3,49.0,21110.0,396.0,28.0,0.0,3
19.7,17.7,22.7,25.8,244.23,14.9,35.8,386.7,700.2,2.4,69.0,40.0,34.4,49.0,16503.0,380.0,27.9,0.0,1
15.4,11.0,35.0,39.4,772.7,12.6,49.1,309.3,962.5,6.1,57.0,28.5,64.8,103.0,24126.0,398.0,64.5,0.0,3
11.8,8.1,27.9,31.6,469.04,11.1,41.3,262.5,684.5,0.0,52.0,42.6,54.9,97.0,21249.0,388.0,57.7,0.0,2
12.5,11.1,20.4,21.8,245.86,12.3,27.9,318.1,523.8,3.3,54.0,22.5,30.7,28.0,16738.0,410.0,16.0,0.0,0
11.6,8.1,26.3,29.4,443.68,11.1,37.6,264.7,639.8,0.0,53.0,37.0,47.1,76.0,19962.0,401.0,44.8,0.0,2
11.1,8.0,29.9,34.0,392.98,11.1,45.6,257.4,764.4,0.0,45.0,48.1,60.5,116.0,22725.0,400.0,73.8,0.0,3
11.7,8.0,27.7,30.9,469.04,11.0,40.1,259.8,682.5,0.0,50.0,33.8,54.4,94.0,21105.0,398.0,56.9,0.0,2
13.6,10.6,25.9,28.7,526.84,12.6,36.4,310.1,664.8,4.7,66.0,20.0,35.7,43.0,19982.0,395.0,24.5,0.0,0
12.2,8.1,27.7,31.6,519.74,10.9,42.0,256.0,688.3,0.0,49.0,48.4,62.0,109.0,21998.0,389.0,65.6,0.0,2
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,0
11.7,8.0,31.9,33.8,0.0,7.6,44.9,280.9,706.7,0.0,52.0,37.0,61.9,129.0,23095.0,379.0,78.4,0.0,3
19.5,17.5,27.2,29.2,0.0,15.1,37.6,388.7,712.9,3.2,55.0,20.3,27.4,41.0,17529.0,381.0,24.3,0.0,1
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,3
11.0,8.0,33.1,35.4,380.3,12.9,45.4,279.4,783.1,0.0,53.0,32.5,45.7,96.0,21431.0,392.0,57.1,0.0,2
11.7,8.0,30.9,32.7,0.0,7.8,42.6,283.4,673.0,0.0,54.0,34.7,58.5,111.0,22297.0,396.0,70.1,0.0,2
13.6,11.1,24.3,26.9,439.03,28.0,28.1,347.4,552.3,15.0,63.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,0
12.2,10.3,32.4,34.7,0.0,13.5,44.5,301.7,819.3,273.1,49.0,37.4,43.9,60.0,28180.0,375.0,34.5,0.0,3
19.5,17.8,30.5,32.2,179.92,15.5,37.9,396.3,723.5,3.0,55.0,21.9,27.4,42.0,17531.0,376.0,24.6,0.0,1
13.3,11.2,26.1,28.4,368.79,11.6,36.9,303.4,681.4,5.0,51.0,29.1,60.8,69.0,21288.0,410.0,42.5,0.0,3
10.8,8.1,20.7,22.4,342.27,11.4,29.5,273.5,492.5,0.0,50.0,35.1,28.1,35.0,16789.0,396.0,17.9,0.0,2
15.2,11.1,32.0,36.4,720.01,12.4,47.8,305.5,930.9,5.9,55.0,27.4,69.1,107.0,24223.0,396.0,66.2,0.0,3
19.7,18.2,29.1,30.9,158.75,15.8,37.5,398.1,729.8,2.3,67.0,20.7,25.9,39.0,16697.0,383.0,22.6,0.0,1
11.9,7.9,26.9,30.5,507.07,10.9,41.0,256.4,678.3,0.0,52.0,43.1,58.7,101.0,21568.0,393.0,61.1,0.0,2
19.5,17.6,31.5,32.7,201.08,16.0,38.1,395.7,716.3,3.6,70.0,20.0,21.3,32.0,16688.0,378.0,18.6,0.0,1
9.7,10.3,30.0,30.0,0.0,29.9,31.5,334.3,630.6,273.1,54.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,3
12.7,9.7,31.9,34.7,380.3,13.1,55.3,279.2,999.1,0.0,48.0,33.8,100.0,159.0,24296.0,381.0,97.4,0.0,2
13.3,11.2,27.3,29.5,368.79,11.9,40.8,305.5,721.5,7.0,57.0,29.5,100.0,81.0,23798.0,393.0,48.9,0.0,3
10.9,8.0,21.1,22.8,367.62,11.3,29.9,273.7,504.8,0.0,59.0,30.0,31.7,41.0,16794.0,389.0,20.7,0.0,2
19.7,18.1,26.4,28.8,0.0,15.3,36.1,386.5,705.2,2.1,69.0,24.1,28.8,42.0,16111.0,381.0,24.7,0.0,3
11.3,8.0,32.1,34.7,418.33,12.0,45.0,270.7,765.4,0.0,49.0,36.8,55.0,112.0,22035.0,381.0,67.0,0.0,2
11.3,8.2,28.7,31.6,392.98,12.1,41.6,273.2,724.4,0.0,53.0,45.8,50.1,93.0,21008.0,398.0,56.4,0.0,2
20.1,16.9,29.3,31.3,744.32,13.1,39.6,359.1,747.0,3.7,56.0,20.0,29.2,51.0,18789.0,372.0,28.5,0.0,1
12.1,11.1,16.1,17.1,175.61,12.6,27.8,317.3,527.4,3.0,67.0,20.0,22.6,21.0,15547.0,409.0,11.8,0.0,3
19.6,19.4,25.0,25.3,46.52,31.6,32.3,480.6,554.9,10.2,70.0,0.0,0.0,0.0,0.0,383.0,0.0,0.0,1
19.0,17.2,25.6,27.1,418.68,14.9,33.1,386.2,611.9,3.3,70.0,20.0,19.8,23.0,15295.0,390.0,13.4,0.0,1
11.3,8.0,32.6,35.3,418.33,11.9,46.1,267.8,787.7,0.0,52.0,32.9,58.1,120.0,22615.0,389.0,74.0,0.0,2
12.9,12.6,26.1,26.2,52.68,24.6,28.6,361.4,571.8,14.5,64.0,0.0,0.0,0.0,0.0,427.0,0.0,0.0,0
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,0
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,0
11.3,7.9,29.0,32.1,431.01,12.0,44.4,268.3,759.3,0.0,52.0,45.4,52.0,105.0,21808.0,387.0,62.9,0.0,2
